均溫,低溫,最高溫,相對溼度,降雨量,風速,wpgt,大氣壓力,雲
28.8,25,34.2,68,0,9,,1011.1,4
29.1,24.7,34.4,62,0,7.5,,1011.2,6
28,23.8,33,68,0,6.7,,1012.8,7
28.5,23.5,34.6,63,0,7.4,,1013.7,1
28.7,23.9,33.9,63,0.4,9.5,,1013,1
28.9,25.3,34,63,0.7,8.7,,1013,1
28.6,24.6,33.8,66,0,7.2,,1013.5,1
29.3,24.3,34.2,61,0,6.7,,1013.1,1
29.9,24.9,34.2,58,0,8.4,,1011.1,2
29.5,25,35.6,58,0.8,14.3,,1009.9,8
25.4,23.1,30.1,84,9.8,26.5,,1010.9,8
23.3,21.6,25.3,85,0,39.7,45,1011.7,7
23.3,22,25.5,85,0,44.8,40,1010.5,8
23.8,21.6,27.1,82,0.1,39.8,,1011.4,8
24,21.6,28.6,80,0,35,,1012.4,5
24.7,21.6,29.9,79,0,26.4,,1012.7,1
23.9,21.2,28.4,78,0,28,,1013.8,1
22.7,20.3,27.8,76,0,27.5,,1015.4,3
22.2,20.5,26.9,87,7.3,19.2,,1015.4,6
23.9,19.4,29.5,80,0.9,15.8,,1014.2,2
24.2,21.6,28.5,84,2,9.5,,1015.1,4
23.1,20.3,27.2,83,0,23.9,,1014.5,5
22.8,19.5,28.2,74,0.3,21.9,,1015.3,6
22.4,19.7,26.8,81,0.8,17.3,,1016.9,6
22.2,18.9,27.6,74,0,20.3,,1016.6,6
22.8,19.4,28.1,79,0,12,,1015.2,5
23.2,20,29.1,81,0,23.9,,1011.9,3
24.7,20.5,30.9,76,0,14.1,,1012.4,0
25.7,20.9,31.4,74,0,11.4,,1014.5,1
25.5,22.3,29.7,75,0,10.1,,1014.1,4
25.6,21.4,31.4,73,0,14.6,,1009.7,6
23.6,20.6,29,80,2.3,26,,1005.3,8
22.7,20.3,27.1,88,31.1,32.2,,1003.2,8
23.3,20.4,27.8,88,5.8,25.9,,1004.6,7
21.7,20,24,88,2.9,34.6,,1009.7,7
21.3,18.4,26.3,79,7.3,25.5,,1015,2
21.6,17.9,27.2,76,0,16.3,,1018.1,1
22.4,18.7,27.7,81,0,10.1,,1018.8,1
22.3,18.6,27.9,81,0,18.8,,1018.2,1
18.6,15.6,21.6,81,0.3,41.4,38,1019,6
14.8,13.3,17.7,82,0.9,35.6,36,1021.1,6
16.8,13.4,21.5,72,0,28.5,,1020.7,5
18.2,15.9,21.5,76,0,26.1,,1020,6
19.7,15.7,25.9,72,0,17.8,,1019,0
20.7,15.6,27.4,76,0,13.5,,1018,0
21.1,16.7,26.9,78,0,13.3,,1017.1,2
18.9,15.8,23.2,68,0,33.5,,1017,4
19,14.2,25.3,61,0,21.7,,1016.5,6
18.4,15.9,22.1,65,0.1,28.3,,1017.2,8
17.9,15.4,22.4,66,0.7,18.9,,1015.8,8
20.2,15.6,27,64,0,8,,1015,1
20.9,16.1,27.6,64,1.6,8.1,,1014.5,3
21.5,18.3,26.4,79,0.2,14.6,,1013.8,2
21.7,17.9,28,76,0,19.4,,1013.7,0
17.6,13.8,20.7,72,0,35.3,,1017.8,4
17.6,14,23.9,64,0,24.1,,1019.8,2
18.2,15.2,23.7,68,0,15.6,,1019.5,2
18.8,13.8,25.4,70,0,13.5,,1018,0
19.7,14.2,26.3,66,0,7.3,,1017.8,0
19.3,15.3,24.9,69,0,22.3,,1017.5,0
20.1,15.2,27.1,71,0,14.2,,1017.6,2
19.7,16.2,25.5,78,0,10.6,,1018.6,2
19.4,16.1,25.1,70,0,20,,1017.5,2
20.1,15.7,27.2,68,0,18,,1016.8,2
18.8,16.1,25,76,0,24.2,,1017.7,6
14.9,12.5,19.3,64,0,33.8,,1019.8,2
17.4,11.9,24.1,63,0,10.4,,1019.7,0
18.1,13.1,24.7,71,0,8.4,,1019.2,0
19.2,14.5,25.2,71,0,18.1,,1019,1
20.2,15.6,26.8,69,0,15.9,,1017.8,3
19.3,17.4,23.9,83,16.7,11.1,,1016.7,6
20.3,17.4,24.7,87,11.5,14.5,,1016.4,6
18.4,15.2,23,84,0,33.8,,1016.5,3
18.3,13.9,24.6,77,0,21.2,,1017,2
19.5,15.8,25.6,78,0,11,,1016,1
19.6,14.3,26.1,79,0.4,12.5,,1014.1,3
15.1,11.3,18,81,1,32.4,,1016.4,3
13.1,10.4,16.7,79,4.7,27.4,,1018.6,6
15.5,12.4,21.1,83,7.6,14,,1018.8,2
16.2,12.2,22.4,79,0,11.6,,1017.3,3
18.2,13.8,24.7,74,0,15.6,,1015,2
17.4,14.1,22.8,83,0,21.9,,1013.9,2
16.9,13.6,22.1,81,0,26.5,,1013.1,2
